session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
v8jw39uu,15,bclront8,3,wsd_app,FirstWP,1655115207,1,0,1
v8jw39uu,31,f8d4gvps,3,wsd_app,FirstWP,1655115207,1,0,1
v8jw39uu,20,b1cz8e00,2,matcher,FirstWP,1655115207,1,0,1
v8jw39uu,24,a9ef39uv,2,matcher,FirstWP,1655115207,1,0,1
v8jw39uu,27,drll18h9,2,matcher,FirstWP,1655115207,1,0,1
v8jw39uu,9,ptwqybi2,5,wsd_app,Introduction,1655115207,1,0,0
v8jw39uu,37,yketsy3q,1,intro_matcher,Intro,1655115210,1,0,0
v8jw39uu,24,a9ef39uv,3,wsd_app,FirstWP,1655115210,1,0,1
v8jw39uu,20,b1cz8e00,3,wsd_app,FirstWP,1655115210,1,0,1
v8jw39uu,27,drll18h9,3,wsd_app,FirstWP,1655115210,1,0,1
v8jw39uu,8,pgzfftd7,4,wsd_app,GeneralIntro,1655115212,1,0,0
v8jw39uu,14,8eabaeoj,5,wsd_app,Introduction,1655115213,1,0,0
v8jw39uu,15,bclront8,4,wsd_app,GeneralIntro,1655115213,1,0,0
v8jw39uu,4,dh34bcev,5,wsd_app,Introduction,1655115214,1,0,0
v8jw39uu,29,wwmxiren,1,intro_matcher,Intro,1655115214,1,0,0
v8jw39uu,22,1e9fragw,1,intro_matcher,Intro,1655115214,1,0,0
v8jw39uu,21,6ivnoczu,6,wsd_app,Decision,1655115214,1,0,0
v8jw39uu,22,1e9fragw,2,matcher,FirstWP,1655115215,1,0,1
v8jw39uu,29,wwmxiren,2,matcher,FirstWP,1655115215,1,0,1
v8jw39uu,37,yketsy3q,2,matcher,FirstWP,1655115215,1,0,1
v8jw39uu,19,twn9fb4m,5,wsd_app,Introduction,1655115215,1,0,0
v8jw39uu,32,7yty41jr,1,intro_matcher,Intro,1655115215,1,0,0
v8jw39uu,35,17ajo6f1,1,intro_matcher,Intro,1655115216,1,0,0
v8jw39uu,33,38tdh1io,1,intro_matcher,Intro,1655115217,1,0,0
v8jw39uu,33,38tdh1io,2,matcher,FirstWP,1655115217,1,0,1
v8jw39uu,32,7yty41jr,2,matcher,FirstWP,1655115217,1,0,1
v8jw39uu,35,17ajo6f1,2,matcher,FirstWP,1655115217,1,0,1
v8jw39uu,33,38tdh1io,3,wsd_app,FirstWP,1655115217,1,0,1
v8jw39uu,37,yketsy3q,3,wsd_app,FirstWP,1655115217,1,0,1
v8jw39uu,29,wwmxiren,3,wsd_app,FirstWP,1655115217,1,0,1
v8jw39uu,13,pvtljswc,4,wsd_app,GeneralIntro,1655115218,1,0,0
v8jw39uu,31,f8d4gvps,4,wsd_app,GeneralIntro,1655115219,1,0,0
v8jw39uu,22,1e9fragw,3,wsd_app,FirstWP,1655115219,1,0,1
